Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
Mexhome,https://mexhome.com/properties?area=puerto-vallarta&type=Houses,,https://mexhome.com/area/nuevo-vallarta-vacation-rentals/,Nuevo Vallarta Vacation Rentals Real Estate for Sale - MexHome,Land/Lot,495000,USD,2,2,2124,sqft,Discover properties for rent in Nuevo Vallarta Vacation Rentals. Dive into key property insights and experience the unique charm of Mexico.,https://mexhome.com/wp-content/uploads/2016/04/nuevovallarta8.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Rent,1,Mexhome,https://mexhome.com/area/nuevo-vallarta-vacation-rentals/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Mexhome,https://mexhome.com/properties?area=puerto-vallarta&type=Houses,,https://mexhome.com/dev/harbor-171-condos-puerto-vallarta/,Harbor 171 Puerto Vallarta Condos for Sale - MexHome,Land/Lot,389000,USD,1,4,3038,sqft,Harbor 171 in Puerto Vallarta are upscale condos that are an amazing example of real estate in Puerto Vallarta and Mexico.,https://mexhome.com/wp-content/uploads/2020/06/Harbor-171-MexHome-Real-Estate-3.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Rent,1,Mexhome,https://mexhome.com/dev/harbor-171-condos-puerto-vallarta/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Mexhome,https://mexhome.com/properties?area=puerto-vallarta&type=Houses,,https://mexhome.com/dev/valarte-condos-puerto-vallarta/,Valarte Puerto Vallarta for Sale - MexHome,Land/Lot,300000,USD,1,1,775,sqft,"Valarte Condos in Puerto Vallarta offers contemporary design with 95 units in the vibrant and emerging community of Fluvial Vallarta. With convenient access to services, shopping, & entertainment, pre-sale pricing makes this a great investment!",https://mexhome.com/wp-content/uploads/2022/03/valarte-puerto-vallarta-condos-4.jpeg,Mexico,Quintana Roo,Playa del Carmen,,,Rent,1,Mexhome,https://mexhome.com/dev/valarte-condos-puerto-vallarta/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/267-Encino-73-HOTEL-ENCINO-Puerto-Vallarta-JA-mls_40995?pg=2&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D2,Allard Realty,Land/Lot,7400000,USD,73,10733.1,,,VENTA DE PROPIEDAD HOTELERA EN PUERTO VALLARTA (CENTRO). Ponemos a su disposición una excelente oportunidad de inversión en el corazón de Puerto Vallarta: la propiedad donde actualmente opera el r,https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,1,Gerard Allard,https://gerardallardpv.com/idx/267-Encino-73-HOTEL-ENCINO-Puerto-Vallarta-JA-mls_40995?pg=2&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D2,Puerto Vallarta
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/4-AV-CHACALILLA-MALINALI-Villa-Malinali-4-Riviera-Nayarit-NA-mls_43543?pg=2&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D2,Allard Realty,Land/Lot,6000000,USD,7,7,,,"Exclusiva villa frente al mar en Marina Chacala Villa Malinali IV, Riviera Nayarit. Una propiedad diseñada para compradores que buscan privacidad, arquitectura contemporánea y una ubicación verdade",https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,1,Gerard Allard,https://gerardallardpv.com/idx/4-AV-CHACALILLA-MALINALI-Villa-Malinali-4-Riviera-Nayarit-NA-mls_43543?pg=2&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D2,Puerto Vallarta
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/197-Av-Paseo-de-la-Marina-B-01-Tres-Mares-Garden-Residence-Puerto-Vallarta-JA-mls_44015?pg=6&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D6,Allard Realty,Land/Lot,3600000,USD,,4,,,"(English below) Tres Mares Garden Residence | Marina Vallarta Distribuida en dos niveles, la propiedad aprovecha su privilegiada ubicación oceanfront con vistas abiertas hacia la Bahía de Banderas",https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,2,Gerard Allard,https://gerardallardpv.com/idx/197-Av-Paseo-de-la-Marina-B-01-Tres-Mares-Garden-Residence-Puerto-Vallarta-JA-mls_44015?pg=6&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D6; https://gerardallardpv.com/idx/Lt-4-Retorno-de-las-mariposas-Isla-Capitan-Riviera-Nayarit-NA-mls_35348?pg=5&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D5,Puerto Vallarta
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/280-Olas-Altas-1-Burro-s-Bar-Beachfront-Puerto-Vallarta-JA-mls_41514?pg=7&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D7,Allard Realty,Land/Lot,3249000,USD,,46,333.5,m2,"ENGLISH BELOW. Exclusivo lote a pie de playa Los Muertos en la Zona Romantica de Puerto Vallarta, una de las areas mas iconicas, visitadas y de mayor demanda turistica de la ciudad. Con 333.5 m2 de te",https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,1,Gerard Allard,https://gerardallardpv.com/idx/280-Olas-Altas-1-Burro-s-Bar-Beachfront-Puerto-Vallarta-JA-mls_41514?pg=7&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D7,Puerto Vallarta
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/Puerto-Vallarta-JA-mls_44279?pg=9&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D9,Allard Realty,Land/Lot,2869000,USD,7,72,,,"El Edificio Janine es un inmueble urbano de arquitectura funcional ubicado en la colonia Emiliano Zapata, en la ciudad de Puerto Vallarta, Jalisco. A la venta en $50,000,000 MXN. Esta edificación",https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,1,Gerard Allard,https://gerardallardpv.com/idx/Puerto-Vallarta-JA-mls_44279?pg=9&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D9,Puerto Vallarta
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/370-Calle-Zaragoza-Casa-Catalina-Puerto-Vallarta-JA-mls_43702?pg=11&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D11,Allard Realty,Land/Lot,2650000,USD,,5,742,m2,"Ubicada en el emblemático barrio de Gringo Gulch en Puerto Vallarta, Casa Catalina es una finca magistralmente restaurada que captura el romanticismo atemporal y la sofisticación de la vida en Valla",https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,1,Gerard Allard,https://gerardallardpv.com/idx/370-Calle-Zaragoza-Casa-Catalina-Puerto-Vallarta-JA-mls_43702?pg=11&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D11,Puerto Vallarta
Gerard Allard,https://www.gerardallardpv.com,,https://gerardallardpv.com/idx/473-Rodolfo-Gomez-Casa-Alta-Mar-Puerto-Vallarta-JA-mls_43932?pg=13&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D13,Allard Realty,Land/Lot,2495000,USD,,4,,,"Experience luxury coastal living at Casa Alta Mar in Puerto Vallarta's Alta Vista neighborhood. This contemporary residence showcases sweeping views of the Pacific, Banderas Bay, the city skyline, an",https://secure.gravatar.com/avatar/57736a2afc94af145ff19235d2065a32cedf99d36ccce4a435662ee9470ab8d5?s=96&amp;d=mm&amp;r=g,Mexico,,,,,Sale,2,Gerard Allard,https://gerardallardpv.com/idx/105-Paseo-de-las-Conchas-Chinas-Villa-Encantada-Puerto-Vallarta-JA-mls_42199?pg=13&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D13; https://gerardallardpv.com/idx/473-Rodolfo-Gomez-Casa-Alta-Mar-Puerto-Vallarta-JA-mls_43932?pg=13&OrderBy=-ListPrice&m=20101117190901935008000000&search_referral_url=https%3A%2F%2Fgerardallardpv.com%2Fproperties%3Fpg%3D13,Puerto Vallarta
